intervention,disease,baseline_risk,intervened_risk,delta,delta_pct
BMI reduction,obesity,0.4030763,1.7523766e-05,-0.40305877,-99.99565482139587
BMI reduction,t2d,0.09657407,0.0036353618,-0.09293871,-96.23567461967468
BMI reduction,hypertension,0.29819113,0.03486225,-0.26332888,-88.30875754356384
BMI reduction,cad,0.021737903,1.3649464e-05,-0.021724254,-99.93720650672913
BMI reduction,ckd,0.022019051,2.1472573e-05,-0.021997578,-99.90248084068298
BMI reduction,stroke,0.014981118,2.0092353e-05,-0.014961026,-99.8658835887909
BMI reduction,osteoporosis,0.48211142,0.3690448,-0.11306662,-23.452383279800415
Sleep 8 hours,obesity,0.4030763,0.9993936,0.5963173,147.94154167175293
Sleep 8 hours,t2d,0.09657407,0.50609416,0.4095201,424.0476608276367
Sleep 8 hours,hypertension,0.29819113,0.24631238,-0.051878758,-17.397820949554443
Sleep 8 hours,cad,0.021737903,0.0,-0.021737903,-100.0
Sleep 8 hours,ckd,0.022019051,0.0,-0.022019051,-100.0
Sleep 8 hours,stroke,0.014981118,0.0038309423,-0.011150176,-74.42819476127625
Sleep 8 hours,osteoporosis,0.48211142,0.3845259,-0.097585544,-20.241284370422363
Sedentary -60m,obesity,0.4030763,0.0070903897,-0.3959859,-98.24092984199524
Sedentary -60m,t2d,0.09657407,7.450581e-09,-0.09657406,-99.99999403953552
Sedentary -60m,hypertension,0.29819113,0.0,-0.29819113,-100.0
Sedentary -60m,cad,0.021737903,0.0,-0.021737903,-100.0
Sedentary -60m,ckd,0.022019051,0.0,-0.022019051,-100.0
Sedentary -60m,stroke,0.014981118,0.0,-0.014981118,-100.0
Sedentary -60m,osteoporosis,0.48211142,0.27236956,-0.20974186,-43.504852056503296
