fold,disease,auroc
0,obesity,0.9987429815587877
0,t2d,0.8144938593283509
0,hypertension,0.7218862294149081
0,cad,0.8139471061959913
0,ckd,0.7333782082663123
0,stroke,0.7441988818841442
0,osteoporosis,0.5
1,obesity,0.9992507083389961
1,t2d,0.8395403927674353
1,hypertension,0.7134129860807097
1,cad,0.8368276884533663
1,ckd,0.7641477287620246
1,stroke,0.7915241774325198
1,osteoporosis,0.5
2,obesity,0.9984643484259375
2,t2d,0.8371415319455379
2,hypertension,0.7330247844177773
2,cad,0.8143684027703934
2,ckd,0.7807473828134498
2,stroke,0.7653480414586111
2,osteoporosis,0.5
3,obesity,0.9995189356779755
3,t2d,0.8398370598093792
3,hypertension,0.7271494252873563
3,cad,0.8239606663480491
3,ckd,0.8007921274715901
3,stroke,0.7987644201578629
3,osteoporosis,0.5
4,obesity,0.999059756540112
4,t2d,0.843544308182637
4,hypertension,0.7363023385831837
4,cad,0.849641982463684
4,ckd,0.7793008923098905
4,stroke,0.7937440415092961
4,osteoporosis,0.5
